"종목명","종가","대비","등락률","종목코드","EPS","PER","선행.EPS","선행.PER","BPS","PBR","주당배당금","배당수익률","시장구분","업종명","시가총액"
"KPX케미칼",52900,-300,-0.56,"025000",13504,3.92,NA,NA,145591,0.36,3250,6.14,"KOSPI","화학",2.56036e+11
"대동",9660,-880,-8.35,"000490",NA,NA,NA,NA,17911,0.54,100,1.04,"KOSPI","기계·장비",254953076280
"화승인더",4605,-40,-0.86,"006060",790,5.83,NA,NA,7147,0.64,200,4.34,"KOSPI","유통",254748600000
"CR홀딩스",5420,0,0,"000480",NA,NA,NA,NA,14790,0.37,410,7.56,"KOSPI","비금속",254146455800
"BYC",40350,300,0.75,"001460",2205,18.3,NA,NA,66074,0.61,350,0.87,"KOSPI","섬유·의류",252032152500
"하이트진로홀딩스",10680,200,1.91,"000140",2106,5.07,NA,NA,25790,0.41,350,3.28,"KOSPI","기타금융",247848250200
"웅진씽크빅",2145,10,0.47,"095720",NA,NA,9,247.76,2611,0.82,90,4.2,"KOSPI","일반서비스",247760337825
"사조산업",49050,300,0.62,"007160",927,52.91,NA,NA,110014,0.45,0,0,"KOSPI","음식료·담배",2.4525e+11
"서연",10410,-110,-1.05,"007860",6172,1.69,NA,NA,37694,0.28,200,1.92,"KOSPI","기타금융",244425176040
"일신방직",10610,-10,-0.09,"003200",1319,8.04,NA,NA,40881,0.26,200,1.89,"KOSPI","섬유·의류",243605600000
"KSS해운",10550,60,0.57,"044450",2543,4.15,NA,NA,23452,0.45,400,3.79,"KOSPI","운송·창고",243556034000
"에어부산",2055,-30,-1.44,"298690",NA,NA,524,3.92,1193,1.72,0,0,"KOSPI","운송·창고",239695200000
"에이블씨엔씨",9160,20,0.22,"078520",559,16.39,940,9.74,3509,2.61,411,4.49,"KOSPI","화학",238289714760
"스카이라이프",5010,25,0.5,"053210",NA,NA,452,11.08,11633,0.43,350,6.99,"KOSPI","오락·문화",238090004550
"이지스밸류플러스리츠",4590,-20,-0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOSPI","부동산",236125522710
"서흥",20400,-600,-2.86,"008490",1644,12.41,1871,10.91,40892,0.5,200,0.98,"KOSPI","화학",236009905200
"한농화성",15000,-180,-1.19,"011500",294,51.02,NA,NA,10781,1.39,60,0.4,"KOSPI","화학",234555630000
"HS효성",62900,800,1.29,"487570",596,105.54,NA,NA,148012,0.42,0,0,"KOSPI","기타금융",234360808300
"대성에너지",8450,0,0,"117580",635,13.31,NA,NA,12094,0.7,250,2.96,"KOSPI","전기·가스",2.32375e+11
"부광약품",3390,0,0,"003000",NA,NA,NA,NA,3254,1.04,0,0,"KOSPI","제약",232061334690
"삼일제약",10600,0,0,"000520",NA,NA,154,68.98,8296,1.28,0,0,"KOSPI","제약",229933196600
"한화갤러리아",1184,-11,-0.92,"452260",NA,NA,NA,NA,4080,0.29,0,0,"KOSPI","유통",229529778240
"알루코",2370,-30,-1.25,"001780",188,12.61,278,8.51,3219,0.74,0,0,"KOSPI","금속",229487412840
"신세계 I&C",16400,400,2.5,"035510",2575,6.37,NA,NA,31082,0.53,430,2.62,"KOSPI","IT 서비스",229286760000
"한양증권",18000,-200,-1.1,"001750",3011,5.98,NA,NA,38947,0.46,950,5.28,"KOSPI","증권",229113612000
"대원강업",3685,5,0.14,"000430",381,9.67,NA,NA,8359,0.44,110,2.99,"KOSPI","운송장비·부품",2.2847e+11
"성신양회",9310,-80,-0.85,"004980",1818,5.12,NA,NA,22908,0.41,350,3.76,"KOSPI","비금속",228244639630
"이월드",1606,15,0.94,"084680",NA,NA,NA,NA,1652,0.97,0,0,"KOSPI","기타제조",227740745958
"TYM",5050,-50,-0.98,"002900",424,11.91,NA,NA,9504,0.53,110,2.18,"KOSPI","기계·장비",227507327800
"LG헬로비전",2925,-10,-0.34,"037560",NA,NA,267,10.97,5734,0.51,0,0,"KOSPI","오락·문화",226532080125
"무학",7930,30,0.38,"033920",1828,4.34,NA,NA,21582,0.37,520,6.56,"KOSPI","음식료·담배",2.26005e+11
"도화엔지니어링",6680,-30,-0.45,"002150",NA,NA,NA,NA,7679,0.87,280,4.19,"KOSPI","일반서비스",225249600000
"환인제약",12080,-230,-1.87,"016580",1531,7.89,NA,NA,24628,0.49,300,2.48,"KOSPI","제약",224688845600
"웅진",2810,110,4.07,"016880",40,70.25,NA,NA,919,3.06,0,0,"KOSPI","일반서비스",224595094800
"퍼스텍",4590,-30,-0.65,"010820",225,20.4,NA,NA,1310,3.5,0,0,"KOSPI","금속",223863195420
"GS글로벌",2710,-25,-0.91,"001250",657,4.12,448,6.05,6449,0.42,25,0.92,"KOSPI","유통",223666500440
"삼영전자",11080,-20,-0.18,"005680",559,19.82,846,13.1,27850,0.4,300,2.71,"KOSPI","전기·전자",2.216e+11
"동아지질",16500,-10,-0.06,"028100",850,19.41,NA,NA,17334,0.95,500,3.03,"KOSPI","건설",220926783000
"이연제약",11740,10,0.09,"102460",226,51.95,NA,NA,13627,0.86,0,0,"KOSPI","제약",218209161140
"코람코더원리츠",5400,10,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOSPI","부동산",2.1816e+11
"동성케미컬",4300,0,0,"102260",916,4.69,NA,NA,9035,0.48,50,1.16,"KOSPI","화학",215760201300
"우진",10600,400,3.92,"105840",687,15.43,NA,NA,9602,1.1,250,2.36,"KOSPI","의료·정밀기기",214095302000
"하나제약",12040,-40,-0.33,"293480",1228,9.8,1249,9.64,17872,0.67,510,4.24,"KOSPI","제약",213986269840
"한미글로벌",19460,90,0.46,"053690",1970,9.88,3164,6.15,20263,0.96,400,2.06,"KOSPI","일반서비스",213233923000
"대원전선",2840,-5,-0.18,"006340",89,31.91,NA,NA,1467,1.94,0,0,"KOSPI","전기·전자",212940857000
"해태제과식품",7300,0,0,"101530",1197,6.1,NA,NA,10963,0.67,250,3.42,"KOSPI","음식료·담배",212552800600
"한국공항",67100,-100,-0.15,"005430",13278,5.05,NA,NA,121065,0.55,1000,1.49,"KOSPI","운송·창고",212462420500
"삼양패키징",13840,-140,-1,"272550",1310,10.56,NA,NA,24759,0.56,500,3.61,"KOSPI","화학",212180638640
"신한서부티엔디리츠",3725,-70,-1.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOSPI","부동산",211786491650
"다올투자증권",3455,-30,-0.86,"030210",NA,NA,NA,NA,8710,0.4,150,4.34,"KOSPI","증권",210447871230
"대성산업",4645,35,0.76,"128820",172,27.01,NA,NA,16035,0.29,0,0,"KOSPI","유통",210118795310
"제일약품",14280,-140,-0.97,"271980",NA,NA,NA,NA,12912,1.11,0,0,"KOSPI","제약",209985572160
"한솔제지",8800,-120,-1.35,"213500",NA,NA,2177,4.04,28891,0.3,500,5.68,"KOSPI","종이·목재",209445068800
"삼익THK",9960,0,0,"004380",74,134.59,NA,NA,9605,1.04,100,1,"KOSPI","기계·장비",2.0916e+11
"경방",7620,-80,-1.04,"000050",947,8.05,NA,NA,30489,0.25,150,1.97,"KOSPI","유통",208904357400
"삼성SDI우",125700,-200,-0.16,"006405",NA,NA,NA,NA,NA,NA,1050,0.84,"KOSPI","전기·전자",203369527200
"롯데하이마트",8610,-50,-0.58,"071840",NA,NA,NA,NA,40094,0.21,300,3.48,"KOSPI","유통",203262400320
"대교",2390,50,2.14,"019680",50,47.8,31,76.18,3826,0.62,0,0,"KOSPI","일반서비스",202439811500
"에이프로젠",629,-6,-0.94,"007460",NA,NA,NA,NA,560,1.12,0,0,"KOSPI","금속",200819038608
"미창석유",115400,-800,-0.69,"003650",34783,3.32,NA,NA,272644,0.42,3000,2.6,"KOSPI","화학",200758148800
"JW생명과학",12550,-20,-0.16,"234080",2841,4.42,NA,NA,12945,0.97,500,3.98,"KOSPI","제약",198723652700
"금호석유화학우",65500,700,1.08,"011785",NA,NA,NA,NA,NA,NA,2250,3.44,"KOSPI","화학",198038333000
"CJ제일제당 우",147600,500,0.34,"097955",NA,NA,NA,NA,NA,NA,6050,4.1,"KOSPI","음식료·담배",195929110800
"콘텐트리중앙",10170,-60,-0.59,"036420",NA,NA,NA,NA,5658,1.8,0,0,"KOSPI","오락·문화",195897672360
"모나용평",4065,5,0.12,"070960",167,24.34,410,9.91,8243,0.49,0,0,"KOSPI","일반서비스",195661998645
"동국씨엠",6520,-190,-2.83,"460850",2137,3.05,NA,NA,34015,0.19,500,7.67,"KOSPI","금속",194939237120
"진원생명과학",2295,35,1.55,"011000",NA,NA,NA,NA,1072,2.14,0,0,"KOSPI","제약",194884705485
"현대비앤지스틸",12890,50,0.39,"004560",1644,7.84,NA,NA,33980,0.38,100,0.78,"KOSPI","금속",194365873790
"조일알미늄",1529,3,0.2,"018470",87,17.57,NA,NA,1576,0.97,0,0,"KOSPI","금속",193619901409
"CJ우",85300,-200,-0.23,"001045",NA,NA,NA,NA,NA,NA,3050,3.58,"KOSPI","기타금융",192797021900
"LG우",63700,100,0.16,"003555",NA,NA,NA,NA,NA,NA,3150,4.95,"KOSPI","기타금융",191813376300
"AJ네트웍스",4230,30,0.71,"095570",485,8.72,429,9.86,9902,0.43,270,6.38,"KOSPI","일반서비스",191419170570
"경농",9770,40,0.41,"002100",963,10.15,NA,NA,14088,0.69,450,4.61,"KOSPI","화학",190735557750
"대신증권2우B",19010,150,0.8,"003547",NA,NA,NA,NA,NA,NA,1200,6.31,"KOSPI","증권",1.901e+11
"동화약품",6780,-20,-0.29,"000020",201,33.73,NA,NA,13470,0.5,180,2.65,"KOSPI","제약",189375366600
"코스맥스비티아이",19710,40,0.2,"044820",1722,11.45,NA,NA,26341,0.75,450,2.28,"KOSPI","기타금융",189293282910
"미원화학",85900,400,0.47,"134380",13446,6.39,NA,NA,80809,1.06,4000,4.66,"KOSPI","화학",188917121200
"그린케미칼",7870,-40,-0.51,"083420",351,22.42,NA,NA,5244,1.5,240,3.05,"KOSPI","화학",1.8888e+11
"SK디앤디",10100,90,0.9,"210980",2296,4.4,2469,4.09,30637,0.33,600,5.94,"KOSPI","부동산",188035558200
"한솔테크닉스",5850,-60,-1.02,"004710",214,27.34,NA,NA,11704,0.5,150,2.56,"KOSPI","전기·전자",187842786300
"일진다이아",13220,-70,-0.53,"081000",908,14.56,NA,NA,29059,0.45,300,2.27,"KOSPI","화학",187763329500
"진양홀딩스",3340,-10,-0.3,"100250",276,12.1,NA,NA,6611,0.51,200,5.99,"KOSPI","화학",186690275280
"KCTC",6210,-630,-9.21,"009070",860,7.22,NA,NA,9858,0.63,75,1.21,"KOSPI","운송·창고",1.863e+11
"코오롱글로벌",9720,0,0,"003070",1228,7.92,679,14.32,30776,0.32,400,4.12,"KOSPI","건설",184025970360
"신원",1641,29,1.8,"009270",84,19.54,NA,NA,3054,0.54,70,4.27,"KOSPI","섬유·의류",181536990312
"삼성전기우",62300,300,0.48,"009155",NA,NA,NA,NA,NA,NA,1850,2.97,"KOSPI","전기·전자",181105103200
"대한화섬",136300,1200,0.89,"003830",NA,NA,NA,NA,638754,0.21,750,0.55,"KOSPI","화학",181006400000
"에스엠벡셀",1622,0,0,"010580",10,162.2,NA,NA,606,2.68,0,0,"KOSPI","운송장비·부품",180450354720
"노루페인트",9020,-20,-0.22,"090350",1718,5.25,NA,NA,19881,0.45,350,3.88,"KOSPI","화학",1.804e+11
"삼성물산우B",121000,-1100,-0.9,"02826K",NA,NA,NA,NA,NA,NA,2650,2.19,"KOSPI","유통",177578390000
"한국석유",13970,90,0.65,"004090",1049,13.32,969,14.42,15707,0.89,120,0.86,"KOSPI","비금속",177336856400
"삼성출판사",17710,-290,-1.61,"068290",1085,16.32,NA,NA,17639,1,200,1.13,"KOSPI","오락·문화",1.771e+11
"방림",4395,25,0.57,"003610",22,199.77,NA,NA,5470,0.8,60,1.37,"KOSPI","섬유·의류",176688484410
"조선내화",14870,50,0.34,"462520",492,30.22,NA,NA,18725,0.79,1000,6.72,"KOSPI","비금속",176286348160
"미원홀딩스",75900,-300,-0.39,"107590",10906,6.96,NA,NA,112416,0.68,700,0.92,"KOSPI","기타금융",1.76088e+11
"삼화전기",26550,-200,-0.75,"009470",2967,8.95,3251,8.17,13239,2.01,500,1.88,"KOSPI","전기·전자",175596921000
"이구산업",5250,-100,-1.87,"025820",377,13.93,NA,NA,4080,1.29,50,0.95,"KOSPI","금속",175570500000
"대창단조",6140,-80,-1.29,"015230",1317,4.66,NA,NA,11880,0.52,160,2.61,"KOSPI","운송장비·부품",175433492200
"계룡건설",19610,-360,-1.8,"013580",5350,3.67,10247,1.91,95717,0.2,400,2.04,"KOSPI","건설",175135086270
"티와이홀딩스",3440,-85,-2.41,"363280",NA,NA,NA,NA,25637,0.13,0,0,"KOSPI","기타금융",173476681920
"유니켐",1777,-75,-4.05,"011330",NA,NA,NA,NA,1343,1.32,0,0,"KOSPI","섬유·의류",172869484942
"무림P&P",2760,-40,-1.43,"009580",361,7.65,444,6.22,10215,0.27,100,3.62,"KOSPI","종이·목재",172136574240
"한세예스24홀딩스",4300,5,0.12,"016450",116,37.07,NA,NA,12908,0.33,250,5.81,"KOSPI","섬유·의류",1.72e+11
"한국화장품",10650,-300,-2.74,"123690",286,37.24,NA,NA,1886,5.65,0,0,"KOSPI","유통",171124200000
"S-Oil우",42150,450,1.08,"010955",NA,NA,NA,NA,NA,NA,150,0.36,"KOSPI","화학",169524223050
"삼화페인트",6170,-20,-0.32,"000390",654,9.43,NA,NA,13171,0.47,350,5.67,"KOSPI","화학",167845403730
"NPC",4535,-30,-0.66,"004250",1893,2.4,NA,NA,11496,0.39,105,2.32,"KOSPI","화학",166525200000
"아모레퍼시픽홀딩스3우C",23450,-100,-0.42,"00279K",NA,NA,NA,NA,NA,NA,667,2.84,"KOSPI","화학",166312090000
"한국주철관",7290,0,0,"000970",634,11.5,NA,NA,16394,0.44,400,5.49,"KOSPI","금속",166215645000
"이수화학",6320,-90,-1.4,"005950",NA,NA,NA,NA,4734,1.34,0,0,"KOSPI","화학",166179148080
"한독",12050,-90,-0.74,"002390",NA,NA,NA,NA,20871,0.58,200,1.66,"KOSPI","제약",165850572650
"삼양통상",55200,100,0.18,"002170",4036,13.68,NA,NA,163107,0.34,1500,2.72,"KOSPI","섬유·의류",1.656e+11
"강남제비스코",12600,0,0,"000860",1020,12.35,NA,NA,47643,0.26,250,1.98,"KOSPI","화학",1.638e+11
"동방",3410,-220,-6.06,"004140",429,7.95,NA,NA,3280,1.04,20,0.59,"KOSPI","운송·창고",163583722060
"코오롱모빌리티그룹",2605,25,0.97,"450140",NA,NA,NA,NA,3972,0.66,70,2.69,"KOSPI","유통",163534736250
"유화증권",2880,0,0,"003460",291,9.9,NA,NA,8432,0.34,160,5.56,"KOSPI","증권",163302955200
"디아이씨",4195,-110,-2.56,"092200",370,11.34,NA,NA,3852,1.09,0,0,"KOSPI","운송장비·부품",163137546955
"DH오토넥스",1984,0,0,"000300",5650,0.35,NA,NA,426,4.66,0,0,"KOSPI","운송장비·부품",162944308992
"현대리바트",7900,-140,-1.74,"079430",755,10.46,1036,7.63,20470,0.39,130,1.65,"KOSPI","기타제조",162228727800
"AK홀딩스",12170,50,0.41,"006840",NA,NA,NA,NA,40295,0.3,400,3.29,"KOSPI","기타금융",161222817370
"신라교역",10050,70,0.7,"004970",2509,4.01,NA,NA,38186,0.26,500,4.98,"KOSPI","농업, 임업 및 어업",1.608e+11
"일신석재",2070,10,0.49,"007110",18,115,NA,NA,762,2.72,0,0,"KOSPI","유통",160335182700
"한국제지",839,2,0.24,"027970",22,38.14,NA,NA,2323,0.36,0,0,"KOSPI","종이·목재",159559540843
"유수홀딩스",6100,0,0,"000700",1288,4.74,NA,NA,13098,0.47,350,5.74,"KOSPI","일반서비스",158855053200
"대동전자",15040,0,0,"008110",3427,4.39,NA,NA,32490,0.46,0,0,"KOSPI","전기·전자",157776322880
"한진중공업홀딩스",5340,60,1.14,"003480",2167,2.46,NA,NA,14905,0.36,120,2.25,"KOSPI","전기·가스",157689196080
"KEC",785,0,0,"092220",NA,NA,NA,NA,1739,0.45,0,0,"KOSPI","전기·전자",157599065685
"남선알미늄",1220,-9,-0.73,"008350",NA,NA,NA,NA,2300,0.53,0,0,"KOSPI","금속",157476489800
"사조동아원",1114,-2,-0.18,"008040",172,6.48,NA,NA,1921,0.58,20,1.8,"KOSPI","음식료·담배",157235084400
"태경산업",5360,-60,-1.11,"015890",974,5.5,NA,NA,10720,0.5,250,4.66,"KOSPI","화학",156666100000
"아주스틸",4015,-20,-0.5,"139990",NA,NA,NA,NA,4469,0.9,0,0,"KOSPI","금속",155602987210
"대성홀딩스",9630,-80,-0.82,"016710",1997,4.82,NA,NA,27366,0.35,250,2.6,"KOSPI","일반서비스",154941490170
"디씨엠",13590,-320,-2.3,"024090",2141,6.35,NA,NA,29705,0.46,800,5.89,"KOSPI","금속",1.54926e+11
"효성ITX",13250,10,0.08,"094280",989,13.4,NA,NA,5929,2.23,750,5.66,"KOSPI","일반서비스",153146150000
"삼성제약",1620,-20,-1.22,"001360",NA,NA,NA,NA,1125,1.44,0,0,"KOSPI","제약",152542567980
"경동인베스트",64400,300,0.47,"012320",9940,6.48,NA,NA,219935,0.29,750,1.16,"KOSPI","기타금융",152307481200
"신세계푸드",39100,100,0.26,"031440",2892,13.52,5860,6.67,75793,0.52,900,2.3,"KOSPI","일반서비스",151413968000
"동양",634,-14,-2.16,"001520",NA,NA,NA,NA,3699,0.17,0,0,"KOSPI","비금속",151325695942
"디와이파워",13680,-140,-1.01,"210540",1987,6.88,NA,NA,26589,0.51,350,2.56,"KOSPI","기계·장비",151050565440
"이지스레지던스리츠",4070,10,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOSPI","부동산",150045442140
"대창",1644,91,5.86,"012800",58,28.34,NA,NA,3670,0.45,0,0,"KOSPI","금속",149834980356
"인스코비",1198,9,0.76,"006490",25,47.92,NA,NA,400,3,0,0,"KOSPI","통신",149152289048
"효성화학",38900,0,0,"298000",NA,NA,NA,NA,NA,NA,0,0,"KOSPI","화학",147501447900
"사조씨푸드",8520,330,4.03,"014710",686,12.42,NA,NA,13801,0.62,0,0,"KOSPI","음식료·담배",146701986360
"벽산",2190,-10,-0.45,"007210",290,7.55,NA,NA,4992,0.44,37,1.69,"KOSPI","비금속",146423400000
"대호에이엘",1865,34,1.86,"069460",21,88.81,NA,NA,1398,1.33,0,0,"KOSPI","금속",145654401875
"태경비케이",5250,-130,-2.42,"014580",991,5.3,NA,NA,7802,0.67,150,2.86,"KOSPI","비금속",144811275000
"우신시스템",7880,30,0.38,"017370",2186,3.6,1632,4.83,8316,0.95,50,0.63,"KOSPI","기계·장비",144314745520
"태림포장",2030,-35,-1.69,"011280",NA,NA,NA,NA,4511,0.45,0,0,"KOSPI","종이·목재",143736058200
"NH올원리츠",3245,-5,-0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOSPI","부동산",142026796560
"금강공업",4785,-110,-2.25,"014280",216,22.15,NA,NA,14439,0.33,120,2.51,"KOSPI","금속",140340973245
"텔코웨어",15170,-210,-1.37,"078000",942,16.1,NA,NA,21184,0.72,640,4.22,"KOSPI","IT 서비스",140171968090
"샘표",48600,1000,2.1,"007540",5325,9.13,NA,NA,101679,0.48,200,0.41,"KOSPI","기타금융",139763880000
"제일파마홀딩스",8710,-70,-0.8,"002620",NA,NA,NA,NA,19995,0.44,50,0.57,"KOSPI","일반서비스",139127922050
"휴니드",9810,460,4.92,"005870",821,11.95,NA,NA,13123,0.75,0,0,"KOSPI","전기·전자",138478107150
"KH 필룩스",5310,0,0,"033180",NA,NA,NA,NA,18796,0.28,0,0,"KOSPI","전기·전자",138166306200
"자이에스앤디",3560,-75,-2.06,"317400",3,1186.67,957,3.72,11167,0.32,150,4.21,"KOSPI","부동산",138065771200
"미래에셋증권우",9760,150,1.56,"006805",NA,NA,NA,NA,NA,NA,275,2.82,"KOSPI","증권",137379320000
"키다리스튜디오",3705,-25,-0.67,"020120",NA,NA,NA,NA,5383,0.69,0,0,"KOSPI","IT 서비스",137321253030
"경인양행",3285,5,0.15,"012610",370,8.88,NA,NA,5828,0.56,50,1.52,"KOSPI","화학",136709759025
"신흥",14350,-40,-0.28,"004080",554,25.9,NA,NA,12242,1.17,290,2.02,"KOSPI","유통",1.36325e+11
"한솔홀딩스",3320,0,0,"004150",49,67.76,613,5.41,13865,0.24,120,3.61,"KOSPI","기타금융",136208378400
"한국무브넥스",4450,-65,-1.44,"010100",1469,3.03,NA,NA,12661,0.35,100,2.25,"KOSPI","운송장비·부품",135504369000
"에이플러스에셋",5970,-10,-0.17,"244920",109,54.77,NA,NA,6659,0.9,200,3.35,"KOSPI","기타금융",134967927210
"아시아나IDT",12060,40,0.33,"267850",1060,11.38,NA,NA,15201,0.79,500,4.15,"KOSPI","IT 서비스",1.33866e+11
"금호에이치티",613,-8,-1.29,"214330",NA,NA,NA,NA,1497,0.41,0,0,"KOSPI","운송장비·부품",133604937057
"삼영",3915,-15,-0.38,"003720",243,16.11,NA,NA,2228,1.76,20,0.51,"KOSPI","화학",1.3311e+11
"HDC현대EP",4120,10,0.24,"089470",709,5.81,NA,NA,12861,0.32,140,3.4,"KOSPI","화학",1.31428e+11
"HLB글로벌",2605,-15,-0.57,"003580",NA,NA,NA,NA,1888,1.38,0,0,"KOSPI","유통",131074685690
"HS애드",7900,-40,-0.5,"035000",1400,5.64,NA,NA,12518,0.63,550,6.96,"KOSPI","일반서비스",130882531100
"종근당바이오",23800,-250,-1.04,"063160",1586,15.01,NA,NA,23881,1,100,0.42,"KOSPI","제약",130565895600
"페이퍼코리아",732,12,1.67,"001020",NA,NA,NA,NA,1595,0.46,0,0,"KOSPI","종이·목재",130283785116
"세아특수강",15150,-40,-0.26,"019440",1314,11.53,NA,NA,39624,0.38,1000,6.6,"KOSPI","금속",129835500000
"금호건설",3460,-35,-1,"002990",NA,NA,363,9.52,6340,0.55,0,0,"KOSPI","건설",128008789600
"현대약품",3980,-55,-1.36,"004310",NA,NA,NA,NA,3026,1.32,30,0.75,"KOSPI","제약",1.2736e+11
"조선선재",101000,-1300,-1.27,"120030",16590,6.09,NA,NA,165471,0.61,500,0.5,"KOSPI","금속",127022751000
"대영포장",1170,-1,-0.09,"014160",NA,NA,NA,NA,1841,0.64,0,0,"KOSPI","종이·목재",126821622330
"SJG세종",4525,-100,-2.16,"033530",1247,3.63,NA,NA,16867,0.27,150,3.31,"KOSPI","운송장비·부품",125889848525
"태경케미컬",10780,-10,-0.09,"006890",1113,9.69,NA,NA,14451,0.75,180,1.67,"KOSPI","화학",1.25048e+11
"에이프로젠바이오로직스",630,-10,-1.56,"003060",NA,NA,NA,NA,1916,0.33,0,0,"KOSPI","제약",124996942350
"동부건설",5430,-40,-0.73,"005960",NA,NA,1504,3.61,19630,0.28,200,3.68,"KOSPI","건설",124600380090
"유한양행우",105000,-200,-0.19,"000105",NA,NA,NA,NA,NA,NA,510,0.49,"KOSPI","제약",123998700000
"샘표식품",26950,150,0.56,"248170",2203,12.23,NA,NA,53866,0.5,200,0.74,"KOSPI","음식료·담배",123115307700
"극동유화",3525,0,0,"014530",267,13.2,NA,NA,6125,0.58,200,5.67,"KOSPI","화학",122914705500
"경보제약",5140,40,0.78,"214390",194,26.49,NA,NA,6113,0.84,50,0.97,"KOSPI","제약",122881260400
"유니퀘스트",5680,-170,-2.91,"077500",245,23.18,NA,NA,10743,0.53,100,1.76,"KOSPI","유통",122688579360
"DKME",515,0,0,"015590",10,51.5,NA,NA,535,0.96,0,0,"KOSPI","기계·장비",122045495160
"씨케이솔루션",11150,-270,-2.36,"480370",2396,4.65,NA,NA,9659,1.15,0,0,"KOSPI","건설",121923700150
"경동도시가스",20450,50,0.25,"267290",4859,4.21,NA,NA,75694,0.27,875,4.28,"KOSPI","전기·가스",120561052700
"디와이",4570,30,0.66,"013570",892,5.12,NA,NA,15566,0.29,120,2.63,"KOSPI","기타금융",120280722810
"와이투솔루션",3280,-95,-2.81,"011690",180,18.22,NA,NA,2973,1.1,0,0,"KOSPI","전기·전자",119964012320
"신영와코루",13310,110,0.83,"005800",434,30.67,NA,NA,40958,0.32,150,1.13,"KOSPI","섬유·의류",1.1979e+11
"하이스틸",5870,20,0.34,"071090",NA,NA,NA,NA,7334,0.8,10,0.17,"KOSPI","금속",118523934770
"한국수출포장",2945,10,0.34,"002200",91,32.36,NA,NA,7966,0.37,80,2.72,"KOSPI","종이·목재",1.178e+11
"한신기계",3630,0,0,"011700",NA,NA,NA,NA,2764,1.31,15,0.41,"KOSPI","기계·장비",117779528130
"크라운해태홀딩스",7900,-50,-0.63,"005740",1594,4.96,NA,NA,22316,0.35,130,1.65,"KOSPI","기타금융",117294041300
"현대코퍼레이션홀딩스",12870,70,0.55,"227840",4836,2.66,NA,NA,33621,0.38,500,3.89,"KOSPI","유통",117127759320
"형지엘리트",3050,45,1.5,"093240",207,14.73,NA,NA,2449,1.25,0,0,"KOSPI","섬유·의류",117090289950
"크라운제과",9340,130,1.41,"264900",1312,7.12,1702,5.49,16823,0.56,280,3,"KOSPI","음식료·담배",116972759000
"수산세보틱스",1874,-2,-0.11,"017550",148,12.66,NA,NA,2985,0.63,10,0.53,"KOSPI","기계·장비",116935969620
"삼익악기",1290,11,0.86,"002450",41,31.46,NA,NA,3592,0.36,50,3.88,"KOSPI","기타제조",116784880350
"인천도시가스",26350,0,0,"034590",4675,5.64,NA,NA,54335,0.48,1250,4.74,"KOSPI","전기·가스",115274767900
"KTcs",2695,-20,-0.74,"058850",139,19.39,NA,NA,5065,0.53,100,3.71,"KOSPI","IT 서비스",115036075000
"동남합성",32350,50,0.15,"023450",1933,16.74,NA,NA,15520,2.08,900,2.78,"KOSPI","화학",1.13225e+11
"화천기계",5140,-180,-3.38,"010660",269,19.11,NA,NA,6319,0.81,40,0.78,"KOSPI","기계·장비",1.1308e+11
"HS화성",11100,-10,-0.09,"002460",1293,8.58,2375,4.67,40576,0.27,500,4.5,"KOSPI","건설",1.12665e+11
"두올",3595,5,0.14,"016740",530,6.78,NA,NA,7791,0.46,120,3.34,"KOSPI","운송장비·부품",112541417480
"삼성공조",13700,-150,-1.08,"006660",1838,7.45,NA,NA,35620,0.38,80,0.58,"KOSPI","운송장비·부품",111330501800
"동일산업",45650,200,0.44,"004890",6724,6.79,NA,NA,195176,0.23,1250,2.74,"KOSPI","금속",110711064750
"광전자",1901,-22,-1.14,"017900",209,9.1,NA,NA,4746,0.4,50,2.63,"KOSPI","전기·전자",110151093463
"성창기업지주",1574,-17,-1.07,"000180",NA,NA,NA,NA,8292,0.19,0,0,"KOSPI","일반서비스",109789018400
"진흥기업",754,-6,-0.79,"002780",15,50.27,NA,NA,1830,0.41,0,0,"KOSPI","건설",109685695730
"STX",3530,0,0,"011810",NA,NA,NA,NA,1739,2.03,0,0,"KOSPI","유통",109493282310
"휴비스",3150,-10,-0.32,"079980",NA,NA,NA,NA,7140,0.44,0,0,"KOSPI","화학",1.08675e+11
"세이브존I&C",2640,-20,-0.75,"067830",335,7.88,NA,NA,12843,0.21,30,1.14,"KOSPI","유통",108347962800
"세원정공",10830,-160,-1.46,"021820",5535,1.96,NA,NA,58958,0.18,150,1.39,"KOSPI","운송장비·부품",1.083e+11
"아남전자",1402,-7,-0.5,"008700",123,11.4,NA,NA,1699,0.83,0,0,"KOSPI","전기·전자",108128997640
"DRB동일",5410,40,0.74,"004840",491,11.02,NA,NA,20777,0.26,100,1.85,"KOSPI","화학",107821300000
"NI스틸",3765,-5,-0.13,"008260",901,4.18,NA,NA,9017,0.42,100,2.66,"KOSPI","금속",107679440505
"미래에셋글로벌리츠",2705,-5,-0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOSPI","부동산",107134067700
